codigo_ocorrencia2;aeronave_matricula;aeronave_tipo_equipamento;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;anv_motor_qtd;anv_motor_descricao_qtd;aeronave_pmd;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
88522;PRPMM;HELICÓPTERO;AGUSTA;AW119MKII;A119;TURBOEIXO;1;MONOMOTOR;2850;8;2009;BRASIL;BRASIL;FORA DE AERODROMO;HERCÍLIO LUZ;ESTACIONAMENTO;POLICIAL;LEVE;0
88520;PSLBE;AVIÃO;AIRBUS;A321-271NX;A21N;JATO;2;BIMOTOR;89000;234;2023;BRASIL;BRASIL;SENADOR PETRÔNIO PORTELLA;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;LEVE;0
88519;PRAUK;AVIÃO;EMBRAER;ERJ 190-200 IGW;***;JATO;2;BIMOTOR;52290;125;0;BRASIL;BRASIL;CONGONHAS;GOVERNADOR ALUÍZIO ALVES;CRUZEIRO;REGULAR;NENHUM;0
88518;PSABC;AVIÃO;THRUSH AIRCRAFT;S2R-T34;SS2T;TURBOÉLICE;1;MONOMOTOR;4762;NULL;2020;BRASIL;BRASIL;AERÓDROMO NÃO CADASTRADO;AERÓDROMO NÃO CADASTRADO;DECOLAGEM;AGRÍCOLA;SUBSTANCIAL;0
88516;PTSEF;AVIÃO;AIR TRACTOR;AT-502B;AT5T;TURBOÉLICE;1;MONOMOTOR;3629;NULL;2014;BRASIL;BRASIL;FORA DE AERODROMO;AERÓDROMO NÃO CADASTRADO;DECOLAGEM;AGRÍCOLA;DESTRUÍDA;1
88515;PSHEV;AVIÃO;PIPER AIRCRAFT;PA-31T1;PAY1;TURBOÉLICE;2;BIMOTOR;3946;NULL;1981;BRASIL;BRASIL;MARECHAL RONDON;NOVA BANDEIRANTES;POUSO;REGULAR;SUBSTANCIAL;0
88513;PTYUN;HELICÓPTERO;HELIBRAS;AS 350 B2;AS50;TURBOEIXO;1;MONOMOTOR;2100;6;1996;BRASIL;BRASIL;PAGADOR;CAMPO DE MARTE - SP;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
88511;PTRPM;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-712;P28A;PISTÃO;1;MONOMOTOR;1157;4;1983;BRASIL;BRASIL;ESTADUAL ARTHUR SIQUEIRA;ESTADUAL ARTHUR SIQUEIRA;POUSO;INSTRUÇÃO;LEVE;0
88510;PRZIP;AVIÃO;GUILHERME SIMÕES CRUZ;RV-10;ZZZZ;PISTÃO;1;MONOMOTOR;1224;NULL;2011;BRASIL;BRASIL;SANTO ANTÔNIO DE LEVERGER;PONTA PORÃ;POUSO;EXPERIMENTAL;NENHUM;0
88509;PTWIB;AVIÃO;CESSNA AIRCRAFT;S550;C550;JATO;2;BIMOTOR;6849;11;1987;BRASIL;BRASIL;ESTADUAL ARTHUR SIQUEIRA;Comandante Rolim Adolfo Amaro;POUSO;PRIVADA;SUBSTANCIAL;0
88508;PSAEE;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;2;BIMOTOR;61200;143;2020;BRASIL;BRASIL;ANTONIO CARLOS JOBIM / GALEÃO;VIRACOPOS;DECOLAGEM;REGULAR;LEVE;0
88507;PPGGF;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;1;MONOMOTOR;770;2;1992;BRASIL;BRASIL;DOURADOS;DOURADOS;APROXIMAÇÃO FINAL;INSTRUÇÃO;NENHUM;0
88506;PPGJG;AVIÃO;PIPER AIRCRAFT;PA-18;PA18;PISTÃO;1;MONOMOTOR;680;2;1950;BRASIL;BRASIL;FRANK MILOYE MILENKOVICH;AEROCLUBE SÃO JOSÉ DO RIO PARDO;SUBIDA;INSTRUÇÃO;NENHUM;0
88506;PSCNF;AVIÃO;CESSNA AIRCRAFT;208B;C208;TURBOÉLICE;1;MONOMOTOR;4110;NULL;2022;BRASIL;BRASIL;BARTOLOMEU DE GUSMÃO;VIRACOPOS;SUBIDA;REGULAR;NENHUM;0
88505;PPJLM;AVIÃO;HAWKER BEECHCRAFT;B200;BE20;TURBOÉLICE;2;BIMOTOR;5670;10;1997;BRASIL;BRASIL;Comandante Rolim Adolfo Amaro;Fazenda Uberaba;CRUZEIRO;PRIVADA;NENHUM;0
88505;PTWEA;AVIÃO;BEECH AIRCRAFT;A36;BE36;PISTÃO;1;MONOMOTOR;1655;6;1995;BRASIL;BRASIL;Comandante Rolim Adolfo Amaro;FRANK MILOYE MILENKOVICH;CRUZEIRO;PRIVADA;NENHUM;0
88504;PSAEE;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;2;BIMOTOR;61200;143;2020;BRASIL;BRASIL;FERNANDO DE NORONHA;GUARARAPES - GILBERTO FREYRE;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
88503;PTJDN;AVIÃO;CESSNA AIRCRAFT;U206F;C206;PISTÃO;1;MONOMOTOR;1633;6;1973;BRASIL;BRASIL;AUARIS;MALBORO;CRUZEIRO;REGULAR;NENHUM;0
88502;N734AR;AVIÃO;BOEING COMPANY;777-300ER;B773;JATO;2;BIMOTOR;351543;0;0;ESTADOS UNIDOS;ESTADOS UNIDOS;GOVERNADOR ANDRÉ FRANCO MONTORO;MIAMI INTERNATIONAL AIRPORT;CRUZEIRO;REGULAR;NENHUM;0
88501;PSADB;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;2;BIMOTOR;61200;0;2025;BRASIL;BRASIL;TANCREDO NEVES;MARECHAL RONDON;DESCIDA;REGULAR;NENHUM;0
88500;PSSLH;AVIÃO;TEXTRON AVIATION;208B;C208;TURBOÉLICE;1;MONOMOTOR;3969;NULL;2024;BRASIL;BRASIL;SURUCUCU;POUSO DA ÁGUIA;TÁXI;REGULAR;NENHUM;0
88499;PRGGH;AVIÃO;BOEING;737-8EH;B738;JATO;2;BIMOTOR;70533;197;2009;BRASIL;BRASIL;SALGADO FILHO;GOVERNADOR ANDRÉ FRANCO MONTORO;CRUZEIRO;REGULAR;NENHUM;0
88498;PTMXO;AVIÃO;AIRBUS;A321-231;A321;JATO;2;BIMOTOR;89000;235;2014;BRASIL;BRASIL;PRESIDENTE JUSCELINO KUBITSCHEK;VAL DE CANS / JÚLIO CEZAR RIBEIRO;SUBIDA;REGULAR;NENHUM;0
88497;PRYXC;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A (600);AT76;TURBOÉLICE;2;BIMOTOR;23000;77;2023;BRASIL;BRASIL;VAL DE CANS / JÚLIO CEZAR RIBEIRO;OIAPOQUE;CRUZEIRO;REGULAR;NENHUM;0
88496;PSAEA;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;2;BIMOTOR;61500;148;2019;BRASIL;BRASIL;TANCREDO NEVES;BAHIA - JORGE AMADO;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
88495;PRYRH;AVIÃO;AIRBUS;A320-251N;A320;JATO;2;BIMOTOR;77000;183;2017;BRASIL;BRASIL;FORT LAUDERDALE;VAL DE CANS / JÚLIO CEZAR RIBEIRO;CRUZEIRO;REGULAR;NENHUM;0
88494;PUGCF;ULTRALEVE;GILBERTO CALEFFI FAURI;STORCH S500;ULAC;PISTÃO;1;MONOMOTOR;500;2;2013;BRASIL;BRASIL;WALTER EWALDO SIEGEL;M. BAUMANN;CRUZEIRO;EXPERIMENTAL;SUBSTANCIAL;1
88493;PSHPR;HELICÓPTERO;ROBINSON HELICOPTER;R66;R66;TURBOEIXO;1;MONOMOTOR;1225;NULL;2022;BRASIL;BRASIL;EXECUTIVO;EXECUTIVO;DECOLAGEM;POLICIAL;NENHUM;0
88492;PRYRC;AVIÃO;AIRBUS;A320-251N;A320;JATO;2;BIMOTOR;77000;183;2016;BRASIL;BRASIL;ANTONIO CARLOS JOBIM / GALEÃO;GUARARAPES - GILBERTO FREYRE;DECOLAGEM;REGULAR;LEVE;0
88491;PSNEZ;AVIÃO;PIPER AIRCRAFT;PA-28R-200;P28R;PISTÃO;1;MONOMOTOR;1202;NULL;1975;BRASIL;BRASIL;Comandante Rolim Adolfo Amaro;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;POUSO;REGULAR;NENHUM;0
88490;PRMHX;AVIÃO;AIRBUS;A320-214;A320;JATO;2;BIMOTOR;77000;184;2008;BRASIL;BRASIL;EDUARDO GOMES;GOVERNADOR ANDRÉ FRANCO MONTORO;CRUZEIRO;REGULAR;NENHUM;0
88489;PRYRX;AVIÃO;AIRBUS;A320-251N;A320;JATO;2;BIMOTOR;77000;NULL;2018;BRASIL;BRASIL;SANTA GENOVEVA/GOIÂNIA;VIRACOPOS;APROXIMAÇÃO FINAL;REGULAR;LEVE;0
88488;PRYRL;AVIÃO;AIRBUS S.A.S.;A320-253N;A20N;JATO;2;BIMOTOR;77000;182;2017;BRASIL;BRASIL;CAMPO GRANDE;VIRACOPOS;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
88487;PRYSN;AVIÃO;AIRBUS;A320-251N;A20N;JATO;2;BIMOTOR;77000;NULL;2023;BRASIL;BRASIL;VIRACOPOS;EURICO DE AGUIAR SALLES;CRUZEIRO;REGULAR;NENHUM;0
88486;PSAEZ;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;2;BIMOTOR;61200;0;2024;BRASIL;BRASIL;CONGONHAS;TANCREDO NEVES;SUBIDA;REGULAR;NENHUM;0
88485;PRTYU;AVIÃO;AIRBUS S.A.S.;A320-214;A320;JATO;2;BIMOTOR;78000;189;2015;BRASIL;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;BRIGADEIRO LYSIAS RODRIGUES;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
88484;PTUYP;AVIÃO;EMBRAER;EMB-202A;IPAN;PISTÃO;1;MONOMOTOR;1800;1;2010;BRASIL;BRASIL;AERÓDROMO NÃO CADASTRADO;AERÓDROMO NÃO CADASTRADO;MANOBRA;AGRÍCOLA;LEVE;0
88482;PSALM;AVIÃO;PIPER AIRCRAFT;PA-46-600TP;P46T;TURBOÉLICE;1;MONOMOTOR;2722;NULL;2017;BRASIL;BRASIL;Clube Céu;JACAREPAGUÁ;APROXIMAÇÃO FINAL;PRIVADA;LEVE;0
88481;PTWNS;AVIÃO;MITSUBISHI AIRCRAFT;MU-2B-60;MU2;TURBOÉLICE;2;BIMOTOR;5250;8;1980;BRASIL;BRASIL;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;SANTA GENOVEVA/GOIÂNIA;ESTACIONAMENTO;REGULAR;NENHUM;0
88478;PRKNA;AVIÃO;CESSNA AIRCRAFT;152;C152;PISTÃO;1;MONOMOTOR;757;2;1979;BRASIL;BRASIL;FRANCISCO DE ASSIS;FRANCISCO DE ASSIS;DECOLAGEM;INSTRUÇÃO;LEVE;0
88477;PSCCO;AVIÃO;LEARJET;45;LJ45;JATO;2;BIMOTOR;9752;NULL;2006;BRASIL;BRASIL;SOROCABA;HERCÍLIO LUZ;DECOLAGEM;PRIVADA;NENHUM;0
88476;PRMHG;AVIÃO;AIRBUS;A320-214;A320;JATO;2;BIMOTOR;77000;184;2007;BRASIL;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;GOVERNADOR ALUÍZIO ALVES;SUBIDA;REGULAR;NENHUM;0
88475;PRYRH;AVIÃO;AIRBUS;A320-251N;A320;JATO;2;BIMOTOR;77000;183;2017;BRASIL;BRASIL;CARAJÁS;TANCREDO NEVES;CRUZEIRO;REGULAR;NENHUM;0
88474;PSLBE;AVIÃO;AIRBUS;A321-271NX;A21N;JATO;2;BIMOTOR;89000;234;2023;BRASIL;BRASIL;SENADOR PETRÔNIO PORTELLA;GOVERNADOR ANDRÉ FRANCO MONTORO;SUBIDA;REGULAR;LEVE;0
88473;PRMHI;AVIÃO;AIRBUS;A320-214;A320;JATO;2;BIMOTOR;77000;184;2007;BRASIL;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;TANCREDO NEVES;SUBIDA;REGULAR;NENHUM;0
88472;PTPFW;AVIÃO;BEECH AIRCRAFT;N35;BE35;PISTÃO;1;MONOMOTOR;1417;4;1961;BRASIL;BRASIL;CAMPO DE MARTE - SP;Comandante Rolim Adolfo Amaro;DECOLAGEM;PRIVADA;NENHUM;0
88471;PRANW;AVIÃO;AIRBUS S.A.S.;A330-941;A339;JATO;2;BIMOTOR;242000;314;2020;BRASIL;BRASIL;VIRACOPOS;FORT LAUDERDALE;SUBIDA;REGULAR;NENHUM;0
88470;PTTPA;AVIÃO;AIRBUS S.A.S.;A319-112;A319;JATO;2;BIMOTOR;75500;153;0;BRASIL;BRASIL;PRESIDENTE JUSCELINO KUBITSCHEK;HERCÍLIO LUZ;ESTACIONAMENTO;REGULAR;NENHUM;0
88469;PRTYJ;AVIÃO;AIRBUS S.A.S.;A320-214;A320;JATO;2;BIMOTOR;78000;189;2014;BRASIL;BRASIL;LAURO CARNEIRO DE LOYOLA;GOVERNADOR ANDRÉ FRANCO MONTORO;CRUZEIRO;REGULAR;NENHUM;0
88468;PTNTY;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-712;P28A;PISTÃO;1;MONOMOTOR;1157;4;1979;BRASIL;BRASIL;PROFESSOR URBANO ERNESTO STUMPF;CAMPO DE MARTE - SP;TÁXI;INSTRUÇÃO;LEVE;0
88466;PRJJD;AVIÃO;EMBRAER;EMB-500;E50P;JATO;2;BIMOTOR;4750;6;2010;BRASIL;BRASIL;Comandante Rolim Adolfo Amaro;SOROCABA;CRUZEIRO;PRIVADA;NENHUM;0
88465;PRJBE;HELICÓPTERO;SIKORSKY AIRCRAFT;S-92A;S92;TURBOEIXO;2;BIMOTOR;12020;21;2012;BRASIL;BRASIL;JACAREPAGUÁ;JACAREPAGUÁ;POUSO;REGULAR;NENHUM;0
88464;PRTKM;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A;AT72;TURBOÉLICE;2;BIMOTOR;22800;73;2012;BRASIL;BRASIL;TANCREDO NEVES;MÁRIO RIBEIRO;POUSO;REGULAR;NENHUM;0
88463;PSADI;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;2;BIMOTOR;61200;0;2025;BRASIL;BRASIL;AFONSO PENA;VIRACOPOS;DESCIDA;REGULAR;NENHUM;0
88462;PTJYV;ANFÍBIO;LAKE AIRCRAFT;LA-4-200;LA4;PISTÃO;1;MONOMOTOR;1179;4;0;BRASIL;BRASIL;CORONEL ALEXANDRE RAPOSO;BARREIRINHAS;POUSO;PRIVADA;NENHUM;0
88461;LVKLH;AVIÃO;GULFSTREAM;GV;GLF5;JATO;2;BIMOTOR;90500;0;0;ARGENTINA;ARGENTINA;EXTERIOR;GOVERNADOR ALUÍZIO ALVES;DESCIDA;REGULAR;NENHUM;0
88461;PPDBS;AVIÃO;DASSAULT AVIATION;FALCON 7X;FA7X;JATO;3;TRIMOTOR;31751;NULL;NULL;BRASIL;BRASIL;VIRACOPOS;EXTERIOR;CRUZEIRO;PRIVADA;NENHUM;0
88460;PPENM;HELICÓPTERO;EUROCOPTER;AS 350 B2;AS50;TURBOEIXO;1;MONOMOTOR;2250;6;2001;BRASIL;BRASIL;FORA DE AERODROMO;FORA DE AERODROMO;VOO A BAIXA ALTURA;POLICIAL;SUBSTANCIAL;0
88459;PTRHR;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-712;P28A;PISTÃO;1;MONOMOTOR;1157;4;1980;BRASIL;BRASIL;PROFESSOR ERIBERTO MANOEL REINO;DOMINGOS PIGNATARI;CRUZEIRO;INSTRUÇÃO;SUBSTANCIAL;0
88458;PSBTO;HELICÓPTERO;LEONARDO S.P.A;AW139;A139;TURBOEIXO;2;BIMOTOR;7000;NULL;2013;BRASIL;BRASIL;MACAÉ/RIO DE JANEIRO - JOAQUIM DE AZEVEDO MANCEBO;AERÓDROMO NÃO CADASTRADO;CRUZEIRO;REGULAR;NENHUM;0
88457;PSPIN;AVIÃO;ISRAEL AIRCRAFT;GULFSTREAM 200;GLAX;JATO;2;BIMOTOR;16166;NULL;2006;BRASIL;BRASIL;SÃO PAULO CATARINA AEROPORTO EXECUTIVO;GOVERNADOR JOSÉ RICHA;CRUZEIRO;PRIVADA;NENHUM;0
88455;PROMU;HELICÓPTERO;AIRBUS HELICOPTERS;EC 225 LP;EC25;TURBOEIXO;2;BIMOTOR;11000;NULL;2015;BRASIL;BRASIL;CABO FRIO;AERÓDROMO NÃO CADASTRADO;CRUZEIRO;REGULAR;NENHUM;0
88454;PROOW;HELICÓPTERO;LEONARDO S.P.A;AW189;A189;TURBOEIXO;2;BIMOTOR;8600;NULL;2024;BRASIL;BRASIL;JACAREPAGUÁ;AERÓDROMO NÃO CADASTRADO;POUSO;REGULAR;NENHUM;0
88452;PROHV;HELICÓPTERO;LEONARDO S.P.A;AW139;A139;TURBOEIXO;2;BIMOTOR;7000;14;2014;BRASIL;BRASIL;MACAÉ/RIO DE JANEIRO - JOAQUIM DE AZEVEDO MANCEBO;AERÓDROMO NÃO CADASTRADO;POUSO;REGULAR;NENHUM;0
88451;PTNVL;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-712;P28A;PISTÃO;1;MONOMOTOR;1157;4;1980;BRASIL;BRASIL;Ten. Brig. Ar Waldir de Vasconcelos;JACAREPAGUÁ;APROXIMAÇÃO FINAL;ESPECIALIZADA;NENHUM;0
88450;PUJAF;ULTRALEVE;JOAO ANTONIO FRANCIOSI;PARADISE I;ULAC;PISTÃO;1;MONOMOTOR;505;2;2003;BRASIL;BRASIL;AEROCLUBE DE SANTA CATARINA;FAZENDA AERO-AMIL;CRUZEIRO;PRIVADA;NENHUM;0
88449;PPLMF;HELICÓPTERO;HELIBRAS;AS 350 B2;AS50;TURBOEIXO;1;MONOMOTOR;2250;6;2012;BRASIL;BRASIL;NÃO IDENTIFICADO;NÃO IDENTIFICADO;ESTACIONAMENTO;NÃO APLICÁVEL;LEVE;0
88449;PRAGU;HELICÓPTERO;AGUSTA;A109E;A109;TURBOEIXO;2;BIMOTOR;3000;8;2009;BRASIL;BRASIL;NÃO IDENTIFICADO;NÃO IDENTIFICADO;TÁXI;NÃO APLICÁVEL;LEVE;0
88448;PURPI;ULTRALEVE;ANTONIO CARLOS RODRIGUES;PATRIOT;ULAC;PISTÃO;1;MONOMOTOR;600;2;2010;BRASIL;BRASIL;GUANAMBI;GUANAMBI;DECOLAGEM;EXPERIMENTAL;SUBSTANCIAL;0
88447;PRMAK;AVIÃO;AIRBUS;A320-232;A320;JATO;2;BIMOTOR;77000;166;2002;BRASIL;BRASIL;SANTA MARIA;GOVERNADOR ANDRÉ FRANCO MONTORO;DESCIDA;REGULAR;NENHUM;0
88446;PSAER;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;2;BIMOTOR;61200;0;2023;BRASIL;BRASIL;PRESIDENTE JUSCELINO KUBITSCHEK;VIRACOPOS;CRUZEIRO;REGULAR;NENHUM;0
88445;PSAEI;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;2;BIMOTOR;61200;0;2022;BRASIL;BRASIL;VIRACOPOS;PRESIDENTE JUSCELINO KUBITSCHEK;SUBIDA;REGULAR;NENHUM;0
88444;PPEVC;HELICÓPTERO;HELIBRAS;AS 350 BA;AS50;TURBOEIXO;1;MONOMOTOR;2100;6;1993;BRASIL;BRASIL;MALBORO;ATLAS BRASIL CANTANHEDE;CRUZEIRO;REGULAR;NENHUM;0
88443;PRMYT;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;2;BIMOTOR;77000;184;2012;BRASIL;BRASIL;MARECHAL RONDON;PRESIDENTE JUSCELINO KUBITSCHEK;DECOLAGEM;REGULAR;NENHUM;0
88442;PRAXI;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;2;BIMOTOR;52290;125;2012;BRASIL;BRASIL;VIRACOPOS;ESTADUAL DARIO GUARITA;SUBIDA;REGULAR;NENHUM;0
88441;CCBMA;AVIÃO;BOEING COMPANY;787-900;B789;JATO;2;BIMOTOR;254000;NULL;NULL;CHILE;CHILE;CHARLES DE GAULLE;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;NENHUM;0
88440;PTHUS;HELICÓPTERO;BELL HELICOPTER;206B;B06;TURBOEIXO;1;MONOMOTOR;1451;5;1974;BRASIL;BRASIL;JACAREPAGUÁ;JACAREPAGUÁ;TÁXI;PRIVADA;NENHUM;0
88439;PPCMC;AVIÃO;EMBRAER;EMB-500;E50P;JATO;0;SEM TRAÇÃO;4855;0;2017;BRASIL;BRASIL;CONGONHAS;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;POUSO;PRIVADA;LEVE;0
88438;PRMYP;AVIÃO;AIRBUS;A320-214;A320;JATO;2;BIMOTOR;77000;184;2012;BRASIL;BRASIL;SERAFIN ENOSS BERTASO;GOVERNADOR ANDRÉ FRANCO MONTORO;DESCIDA;REGULAR;NENHUM;0
88437;PRVRT;AVIÃO;AIR TRACTOR;AT-402A;AT3T;TURBOÉLICE;1;MONOMOTOR;3175;1;2004;BRASIL;BRASIL;FAZENDA RELU;FAZENDA RELU;MANOBRA;AGRÍCOLA;DESTRUÍDA;0
88436;PPFHT;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;1;MONOMOTOR;770;2;1989;BRASIL;BRASIL;BACACHERI;BACACHERI;ARREMETIDA NO AR;INSTRUÇÃO;NENHUM;0
88436;PSSFG;AVIÃO;PILATUS;PC-12/47E;PC12;TURBOÉLICE;1;MONOMOTOR;4740;NULL;2022;BRASIL;BRASIL;FAZENDA FELICIDADE;BACACHERI;APROXIMAÇÃO FINAL;PRIVADA;NENHUM;0
88435;PRJLS;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTÃO;2;BIMOTOR;2155;6;1995;BRASIL;BRASIL;GERALDO MOACIR BORDON;CLUBE DE VOO ITAIPU;POUSO;PRIVADA;LEVE;0
88434;PTETW;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-720C;PA32;PISTÃO;1;MONOMOTOR;1542;7;1978;BRASIL;BRASIL;AERÓDROMO NÃO CADASTRADO;COLOMBO;DECOLAGEM;REGULAR;LEVE;0
88433;PTOGS;AVIÃO;CESSNA AIRCRAFT;208;C208;TURBOÉLICE;1;MONOMOTOR;3629;2;1985;BRASIL;BRASIL;DEPUTADO LUÍS EDUARDO MAGALHÃES;LORENZO;SUBIDA;REGULAR;NENHUM;0
88432;PRTYT;AVIÃO;AIRBUS;A320-214;A320;JATO;2;BIMOTOR;78000;0;2015;BRASIL;BRASIL;AEROPORTO INTERNACIONAL DE SANTIAGO;GOVERNADOR ANDRÉ FRANCO MONTORO;CRUZEIRO;REGULAR;NENHUM;0
88431;PSAEI;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;2;BIMOTOR;61200;0;2022;BRASIL;BRASIL;GUARARAPES - GILBERTO FREYRE;DEPUTADO LUÍS EDUARDO MAGALHÃES;DECOLAGEM;REGULAR;NENHUM;0
88430;PRYRA;AVIÃO;AIRBUS;A320-251N;A320;JATO;2;BIMOTOR;77000;183;2016;BRASIL;BRASIL;GUARARAPES - GILBERTO FREYRE;VIRACOPOS;DECOLAGEM;REGULAR;LEVE;0
88429;PRVJO;AVIÃO;CESSNA AIRCRAFT;152;C152;PISTÃO;1;MONOMOTOR;758;2;1978;BRASIL;BRASIL;MARECHAL RONDON;MARECHAL RONDON;POUSO;INSTRUÇÃO;NENHUM;0
88428;PTORF;AVIÃO;BEECH AIRCRAFT;M35;BE35;PISTÃO;1;MONOMOTOR;1338;5;1960;BRASIL;BRASIL;BELÉM NOVO;BELÉM NOVO;CRUZEIRO;PRIVADA;NENHUM;0
88428;PTVBQ;AVIÃO;NEIVA;EMB-712;P28A;PISTÃO;1;MONOMOTOR;1157;4;1986;BRASIL;BRASIL;BELÉM NOVO;BELÉM NOVO;CRUZEIRO;INSTRUÇÃO;NENHUM;0
88427;CSTUO;AVIÃO;AIRBUS;330-900;A339;JATO;2;BIMOTOR;242000;0;0;PORTUGAL;PORTUGAL;ANTONIO CARLOS JOBIM / GALEÃO;AEROPORTO HUMBERTO DELGADO;POUSO;REGULAR;NENHUM;0
88426;PROTX;HELICÓPTERO;LEONARDO S.P.A;AW139;A139;TURBOEIXO;2;BIMOTOR;6800;NULL;2013;BRASIL;BRASIL;EURICO DE AGUIAR SALLES;AERÓDROMO NÃO CADASTRADO;TÁXI;REGULAR;NENHUM;0
88425;PRGGQ;AVIÃO;BOEING;737-8EH;B738;JATO;2;BIMOTOR;70533;193;2009;BRASIL;BRASIL;BAHIA - JORGE AMADO;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;NENHUM;0
88424;PRCED;AVIÃO;TWIN COMMANDER;690A;AC90;TURBOÉLICE;2;BIMOTOR;4649;8;1974;BRASIL;BRASIL;CAMPO DE MARTE - SP;SÍLVIO NAME JÚNIOR;TÁXI;PRIVADA;LEVE;0
88423;PSAEX;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;2;BIMOTOR;61200;0;2024;BRASIL;BRASIL;ANTONIO CARLOS JOBIM / GALEÃO;AFONSO PENA;POUSO;REGULAR;NENHUM;0
88422;PRTKM;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A;AT72;TURBOÉLICE;2;BIMOTOR;22800;73;2012;BRASIL;BRASIL;MÁRIO RIBEIRO;TANCREDO NEVES;DECOLAGEM;REGULAR;NENHUM;0
88421;PRMYL;AVIÃO;AIRBUS;A319-112;A319;JATO;2;BIMOTOR;75500;154;2011;BRASIL;BRASIL;SANTOS DUMONT;CONGONHAS;TÁXI;REGULAR;NENHUM;0
88420;PRMYH;AVIÃO;AIRBUS;A320-214;A320;JATO;2;BIMOTOR;77000;184;2010;BRASIL;BRASIL;ANTONIO CARLOS JOBIM / GALEÃO;PINTO MARTINS;CRUZEIRO;REGULAR;LEVE;0
88419;PRFOR;AVIÃO;CESSNA AIRCRAFT;680;C680;JATO;2;BIMOTOR;13744;11;2011;BRASIL;BRASIL;CABO FRIO;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;CRUZEIRO;PRIVADA;NENHUM;0
88418;PRYXC;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A (600);AT76;TURBOÉLICE;2;BIMOTOR;23000;77;2023;BRASIL;BRASIL;LEITE LOPES;VIRACOPOS;APROXIMAÇÃO FINAL;REGULAR;LEVE;0
88417;PRMYT;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;2;BIMOTOR;77000;184;2012;BRASIL;BRASIL;HERCÍLIO LUZ;GOVERNADOR ANDRÉ FRANCO MONTORO;DESCIDA;REGULAR;NENHUM;0
88416;PRXMD;AVIÃO;BOEING;737-8 MAX;B38M;JATO;2;BIMOTOR;82190;196;2018;BRASIL;BRASIL;ANTONIO CARLOS JOBIM / GALEÃO;PINTO MARTINS;SUBIDA;REGULAR;NENHUM;0
88415;PRDRD;HELICÓPTERO;ROBINSON HELICOPTER;R44 II;R44;PISTÃO;1;MONOMOTOR;1134;4;2007;BRASIL;BRASIL;JACAREPAGUÁ;JACAREPAGUÁ;POUSO;ESPECIALIZADA;NENHUM;0
88414;PRNPP;AVIÃO;EMBRAER;EMB-500;E50P;JATO;2;BIMOTOR;4750;6;2010;BRASIL;BRASIL;MÁRIO RIBEIRO;Comandante Ariston Pessoa;SUBIDA;PRIVADA;NENHUM;0
