codigo_ocorrencia2;aeronave_matricula;aeronave_tipo_equipamento;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;anv_motor_qtd;anv_motor_descricao_qtd;aeronave_pmd;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
80959;PRSKV;AVIÃO;CESSNA AIRCRAFT;152;C152;PISTÃO;1;MONOMOTOR;757;2;1981;BRASIL;BRASIL;SANTA GENOVEVA/GOIÂNIA;SANTA GENOVEVA/GOIÂNIA;CORRIDA APÓS POUSO;PRIVADA;NENHUM;0
80958;PTRPE;AVIÃO;NEIVA;EMB-712;P28A;PISTÃO;1;MONOMOTOR;1157;4;1984;BRASIL;BRASIL;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;MÁRIO RIBEIRO;TÁXI;PRIVADA;LEVE;0
80956;PRAYW;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;2;BIMOTOR;52290;125;2011;BRASIL;BRASIL;PINTO MARTINS;VAL DE CANS / JÚLIO CEZAR RIBEIRO;DECOLAGEM;REGULAR;NENHUM;0
80955;PRVZE;AVIÃO;PILATUS;PC-12/47E;PC12;TURBOÉLICE;1;MONOMOTOR;4740;10;2009;BRASIL;BRASIL;CAMPO DE MARTE - SP;MARECHAL RONDON;CORRIDA APÓS POUSO;PRIVADA;LEVE;0
80954;PUJJR;ULTRALEVE;AERO BRAVO;BRAVO 700;ULAC;PISTÃO;1;MONOMOTOR;500;2;2002;BRASIL;BRASIL;MINISTRO VICTOR KONDER;FAZENDA AERO-AMIL;PARTIDA DO MOTOR;PRIVADA;LEVE;0
80953;PRCST;AVIÃO;PIPER AIRCRAFT;PA-46-350P;PA46;PISTÃO;1;MONOMOTOR;1968;NULL;NULL;BRASIL;BRASIL;CORONEL ALTINO MACHADO;CAMPO DE MARTE - SP;DESCIDA;PRIVADA;NENHUM;0
80952;PUMMM;ULTRALEVE;DESCONHECIDO;STORM 300B;ULAC;PISTÃO;1;MONOMOTOR;650;2;2001;BRASIL;BRASIL;EL DORADO;EL DORADO;DECOLAGEM;PRIVADA;SUBSTANCIAL;1
80951;PUWYE;ULTRALEVE;FLYER;PELICAN 500BR;ULAC;PISTÃO;1;MONOMOTOR;480;2;2000;BRASIL;BRASIL;MARCELO PIRES HALZHAUSEN;MARCELO PIRES HALZHAUSEN;POUSO;PRIVADA;LEVE;0
80950;PRMBG;AVIÃO;AIRBUS;A320-232;A320;JATO;2;BIMOTOR;75500;182;2001;BRASIL;BRASIL;PRESIDENTE JUSCELINO KUBITSCHEK;GOVERNADOR ANDRÉ FRANCO MONTORO;CORRIDA APÓS POUSO;REGULAR;NENHUM;0
80949;PTITT;AVIÃO;PIPER AIRCRAFT;PA-31;PA31;PISTÃO;2;BIMOTOR;2948;8;1973;BRASIL;BRASIL;JACAREPAGUÁ;CAMPO DE MARTE - SP;POUSO;PRIVADA;NENHUM;0
80948;PTXPF;AVIÃO;AIRBUS;A321-211;A321;JATO;2;BIMOTOR;89000;NULL;NULL;BRASIL;BRASIL;SALGADO FILHO;AFONSO PENA;CRUZEIRO;REGULAR;NENHUM;0
80947;PRAYO;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;2;BIMOTOR;52290;125;2010;BRASIL;BRASIL;EDUARDO GOMES;VIRACOPOS;SUBIDA;REGULAR;NENHUM;0
80945;PRFRS;AVIÃO;MOONEY AIRCRAFT;M20K;M20T;PISTÃO;1;MONOMOTOR;1317;4;1985;BRASIL;BRASIL;BOM DESPACHO;PARÁ DE MINAS;POUSO;PRIVADA;SUBSTANCIAL;0
80943;PRBLP;AVIÃO;BEECH AIRCRAFT;B200;BE20;TURBOÉLICE;2;BIMOTOR;5670;11;1985;BRASIL;BRASIL;SANTOS DUMONT;HIDRELÉTRICA DE ITUMBIARA;CRUZEIRO;PRIVADA;NENHUM;0
80942;PUDJS;ULTRALEVE;DESCONHECIDO;MISTRAL 582C;ULAC;PISTÃO;1;MONOMOTOR;420;2;1997;BRASIL;BRASIL;Doutor Mauro de Souza Castro;Doutor Mauro de Souza Castro;APROXIMAÇÃO FINAL;PRIVADA;SUBSTANCIAL;1
80941;PPFLL;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;1;MONOMOTOR;770;2;1990;BRASIL;BRASIL;PREFEITO RENATO MOREIRA;PREFEITO RENATO MOREIRA;CORRIDA APÓS POUSO;INSTRUÇÃO;NENHUM;0
80940;PRPAV;AVIÃO;CESSNA AIRCRAFT;A188B;C188;PISTÃO;1;MONOMOTOR;1497;1;1975;BRASIL;BRASIL;NÃO IDENTIFICADO;NÃO IDENTIFICADO;VOO A BAIXA ALTURA;AGRÍCOLA;SUBSTANCIAL;0
80939;PRYRD;AVIÃO;AIRBUS;A320-251N;A320;JATO;3;TRIMOTOR;79000;NULL;2016;BRASIL;BRASIL;PINTO MARTINS;GUARARAPES - GILBERTO FREYRE;CRUZEIRO;REGULAR;NENHUM;0
80938;PRYZY;AVIÃO;MOONEY AIRCRAFT;M20K;M20T;PISTÃO;1;MONOMOTOR;1419;4;1997;BRASIL;BRASIL;TUCURUÍ;JOÃO CORREA DA ROCHA;POUSO;***;LEVE;0
80936;PRHCT;HELICÓPTERO;HELIBRAS;AS 350 B2;AS50;TURBOEIXO;1;MONOMOTOR;2250;6;2012;BRASIL;BRASIL;SÃO FÉLIX DO XINGU;SÃO FÉLIX DO XINGU;POUSO;POLICIAL;LEVE;0
80935;PPGBM;AVIÃO;AERO BOERO;AB-180;AB18;PISTÃO;1;MONOMOTOR;844;2;1991;BRASIL;BRASIL;RIO CLARO;RIO CLARO;CORRIDA APÓS POUSO;PRIVADA;LEVE;0
80934;PRRMY;AVIÃO;CESSNA AIRCRAFT;152;C152;PISTÃO;1;MONOMOTOR;757;2;1977;BRASIL;BRASIL;CARLOS PRATES;CARLOS PRATES;POUSO;INSTRUÇÃO;NENHUM;0
80932;PRAXF;AVIÃO;EMBRAER;ERJ 190-200 LR;E190;JATO;2;BIMOTOR;52290;125;2012;BRASIL;BRASIL;AFONSO PENA;SANTOS DUMONT;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
80931;PTZYK;AVIÃO;ALBERTO BENEDITO PAULO IRALAH;EXPLORER;ZZZZ;PISTÃO;1;MONOMOTOR;1200;4;2010;BRASIL;BRASIL;ESTADUAL DE CAMPOS DOS AMARAIS - PREFEITO FRANCISCO AMARAL;ESTADUAL ARTHUR SIQUEIRA;CRUZEIRO;EXPERIMENTAL;SUBSTANCIAL;0
80930;PRAXP;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;2;BIMOTOR;52290;125;2013;BRASIL;BRASIL;VIRACOPOS;MINISTRO VICTOR KONDER;TÁXI;REGULAR;NENHUM;0
80929;PTUDI;AVIÃO;NEIVA;EMB-201A;IPAN;PISTÃO;1;MONOMOTOR;1800;1;1987;BRASIL;BRASIL;NÃO IDENTIFICADO;NÃO IDENTIFICADO;SUBIDA;AGRÍCOLA;LEVE;0
80928;PSAEB;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;2;BIMOTOR;61500;148;2019;BRASIL;BRASIL;ORLANDO BEZERRA DE MENEZES;VIRACOPOS;POUSO;REGULAR;LEVE;0
80927;PRAXS;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;2;BIMOTOR;52290;125;2013;BRASIL;BRASIL;MARECHAL RONDON;SANTA GENOVEVA/GOIÂNIA;SUBIDA;REGULAR;NENHUM;0
80926;PTNEZ;AVIÃO;NEIVA;EMB-711C;P28R;PISTÃO;1;MONOMOTOR;1202;4;1976;BRASIL;BRASIL;COSTA ESMERALDA;BELÉM NOVO;APROXIMAÇÃO FINAL;PRIVADA;NENHUM;0
80925;PTDKA;AVIÃO;PIPER AIRCRAFT;PA-24-260;PA24;PISTÃO;1;MONOMOTOR;1452;6;1970;BRASIL;BRASIL;CAMPO DE MARTE - SP;CAMPO DE MARTE - SP;DECOLAGEM;PRIVADA;LEVE;0
