codigo_ocorrencia4;recomendacao_numero;recomendacao_dia_assinatura;recomendacao_dia_encaminhamento;recomendacao_dia_feedback;recomendacao_conteudo;recomendacao_status;recomendacao_destinatario_sigla;recomendacao_destinatario
85480;IG-123/CENIPA/2024 - 03;2025-07-24;2025-07-29;2025-12-05;Atuar junto à administração do Aeródromo Afonso Pena (SBCT), Curitiba, PR, de modo a garantir que o gerenciamento da segurança operacional no aeródromo seja realizado conforme as diretrizes previstas no MGSO aprovado, especialmente no que se refere à correta identificação dos perigos e à adequada avaliação, análise e mitigação dos seus riscos associados.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
85480;IG-123/CENIPA/2024 - 04;2025-07-24;2025-07-29;2025-12-05;Divulgar os ensinamentos colhidos nesta investigação aos operadores de aeródromo detentores de Certificado Operacional de Aeroporto, a fim de garantir que esses operadores utilizem as ferramentas de cálculo da gravidade dos eventos de incursão em pista RISC Calculator e o Guia para Entender a Severidade da Incursão em Pista, recomendadas pelo Manual para Prevenção de Incursão em Pista no Aeródromo, possibilitando que as ocorrências categorizadas como A e B sejam oportunamente investigadas pela Autoridade de Investigação SIPAER e que o Runway Safety Team (RST) do aeródromo seja convocado com brevidade, o que permitirá a adoção de ações corretivas tempestivas e multidisciplinares.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
85480;IG-123/CENIPA/2024 - 05;2025-07-24;2025-07-28;2026-01-26;Divulgar os ensinamentos colhidos nesta investigação aos controladores de tráfego aéreo,enfatizando a importância da varredura visual da pista e da vigilância constante sobre todas as operações de voo que se efetuem no aeródromo ou em suas vizinhanças, inclusive das aeronaves, veículos e pessoas que se encontrem na área de manobras, conforme previsto na ICA 81-4 Programa para Prevenção de Ocorrências de Incursão em Pista na Prestação dos Serviços de Tráfego Aéreo e na ICA 100-37 Serviços de Tráfego Aéreo.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
85480;IG-123/CENIPA/2024 - 06;2025-07-24;2025-07-28;NULL;Avaliar a viabilidade de ampliar o conceito de “varredura visual da pista” para “varreduravisual da área protegida” nos documentos emitidos por esse Departamento, com o objetivode elevar o nível de consciência situacional dos controladores que ocupam a posiçãooperacional Torre de Controle quanto à movimentação de aeronaves, veículos e pessoasna área de manobras, abrangendo não apenas a pista de pouso e decolagem, mas tambéma zona de parada (stopway), toda a extensão da faixa de pista, as áreas laterais delimitadaspela distância regulamentar estabelecida pelo RBAC 154 até a posição de espera correspondente, a Área de Segurança de Fim de Pista (RESA) e, quando aplicável, a zonadesimpedida (clearway).;NÃO ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
84857;A-092/CENIPA/2024 - 01;2025-04-22;2025-04-23;2025-07-01;Divulgar os ensinamentos colhidos na presente investigação durante os eventos de promoção da segurança operacional, com o propósito de alertar os pilotos e operadores das aeronaves que atuam sob as regras do RBAC 91 para a importância do adequado planejamento de voo, particularmente no tocante aos limites de peso e balanceamento, de modo a evitar a perda de controle durante a realização da corrida de decolagem.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
83896;IG-048/CENIPA/2024 – 01;2025-11-25;2025-11-25;2026-02-25;Divulgar os ensinamentos colhidos nesta investigação ao operador do Aeródromo Fazenda Santo Inácio (SJ7J), a fim de que seja observada a manutenção das condições de segurança operacional da pista de pouso e decolagem, notadamente quanto ao desprendimento ou acumulação de material na superfície que possa prejudicar o controle direcional das aeronaves.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
83193;A-014/CENIPA/2024 - 01;2025-02-17;2025-02-19;2025-07-23;Divulgar os ensinamentos colhidos na presente investigação ao administrador do Aeródromo Severino Farias (SJH2), a fim de assegurar a adequação das suas condições de segurança operacional, notadamente em relação à pista de pouso.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
83193;A-014/CENIPA/2024 - 02;2025-02-17;2025-02-19;2025-03-07;Divulgar os ensinamentos colhidos na presente investigação, com o propósito de alertar osGestores Responsáveis pelos Centros de Instrução de Aviação Civil (CIAC), envolvidos com cursos práticos de pilotagem e que operam sob as regras do RBAC 141, sobre a importância do Gerenciamento de Risco associado à operação rotineira de suas aeronaves, com o foco nas avaliações das condições meteorológicas presentes nos voos de instrução, bem como nos aeródromos com potencial de uso para a realização de pousos de precaução ou de emergência.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
82568;A-153/CENIPA/2023 - 01;2025-12-02;2025-12-02;2026-02-23;Atuar junto ao Centro de Instrução de Aviação Civil (CIAC) Ícaro Ltda. objetivando analisar a adequação do Programa de Instrução daquele Centro para o Curso de Piloto Agrícola – Avião, bem como verificar a aderência dos gestores, instrutores e demais envolvidos aos Standard Operating Procedures (SOP – procedimentos operacionais padrão) nos voos de instrução.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
82568;A-153/CENIPA/2023 - 02;2025-12-02;2025-12-02;2026-02-23;Divulgar os ensinamentos colhidos nesta investigação aos Centros de Instrução autorizados a ministrar cursos práticos de piloto agrícola, a fim de que os mesmos sejam utilizados nas suas ações de promoção da segurança operacional, reforçando que a percepção coletiva distorcida na instrução prática pode gerar falhas latentes que consequentemente, enfraquecem a cultura de segurança de uma organização.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
82509;A-147/CENIPA/2023 - 01;2025-11-25;2025-11-25;NULL;Atuar junto ao CIAC Fly Eagle Escola de Aviação Civil Ltda., a fim de que sejam revisados os procedimentos estabelecidos para o treinamento de “toque e arremetida”, especialmente relacionados ao planejamento das atividades de voo previstas no Programa de Instrução eo gerenciamento de risco, objetivando elevar a segurança operacional das suas operações aéreas.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
82458;A-146/CENIPA/2023 - 01;2025-03-13;2025-04-08;2025-05-09;Divulgar os ensinamentos colhidos na presente investigação, no âmbito dos operadores do RBAC 137, com o propósito de alertar os pilotos sobre a realização das operações aeroagrícolas condicionadas ao planejamento de voo envolvendo os aspectos que levem ao ofuscamento em decorrência dos raios solares, de modo a evitar colisão com obstáculos.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
82458;A-146/CENIPA/2023 - 02;2025-03-13;2025-04-08;2025-08-18;Avaliar a pertinência de revisar os requisitos estabelecidos na seção 137.209 do RBAC 137, relacionados a equipamentos de segurança de voo para tripulantes, incluindo no rol de itens obrigatórios (macacão e luva de voo com tecido antichama, bem como calçado com material que não se deforme rapidamente com a elevação da temperatura), a fim de proteger os tripulantes por um tempo maior em caso de fogo, possibilitando o abandono da aeronave de modo seguro.;NÃO APLICÁVEL;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81937;A-121/CENIPA/2023 - 01;2024-12-19;2024-12-23;NULL;Atuar junto à EFAI - Escola de Aviação Civil LTDA. - EPP, a fim de que aquele CIAC aprimore seus mecanismos de acompanhamento e supervisão da parte prática da instrução aérea, em especial na padronização de instrutores de voo.;NÃO ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81732;A-106/CENIPA/2023 - 01;2025-02-17;2025-02-17;2025-03-07;Divulgar os ensinamentos colhidos na presente investigação aos operadores das aeronaves experimentais, realçando a importância de se prover a adequada manutenção de suas aeronaves.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81727;A-105/CENIPA/2023 - 01;2025-06-06;2025-06-11;2025-10-29;Atuar junto à Organização de Manutenção (OM) SANAGRI Manutenção de Aeronaves - COM 0210-01/ANAC, responsável pela última inspeção do tipo “100 horas” e emissão do CVA para a aeronave PT-KUM, a fim de verificar se os procedimentos adotados naquela OM são capazes de identificar a instalação de componentes e sistemas em desacordo com o projeto e com a configuração original das aeronaves.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81705;A-099/CENIPA/2023 - 01;2024-09-16;2024-09-16;2025-05-13;Divulgar os ensinamentos colhidos na presente investigação durante os eventos e ações de promoção da segurança operacional, com o propósito de alertar os operadores, pilotos e mantenedores das aeronaves que operam sob as regras do RBAC 91, sobre a necessidade da fiel observância da IS 91.409-01, em sua última revisão, com foco na adoção de um programa de monitoramento de tendência que promova a adequada avaliação das condições gerais do motor e de seus acessórios, para efeito da extensão dos respectivos TBO.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81691;A-097/CENIPA/2023 - 01;2024-05-16;2024-05-16;2024-09-10;Atuar junto aos fabricantes NEIVA/EMBRAER e PIPER, no sentido de buscar soluções de forma a excluir as possibilidades de contato entre o parafuso tipo clevis fixador do anti-shimmy e o tubo atuador traseiro da porta do trem de pouso de nariz, garantindo que não haja bloqueio do movimento da perna do trem de pouso auxiliar em razão de roçamento entre os componentes, durante os ciclos de abaixamento e recolhimento do trem de pouso.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81673;A-088/CENIPA/2023 - 01;2025-05-14;2025-05-17;2025-05-26;Divulgar os ensinamentos colhidos na presente investigação aos operadores aeroagricolas, com o propósito de auxiliar no processo de gerenciamento de risco e na identificação de perigos, objetivando adotar as ações mitigadoras necessárias em relação aos procedimentos de abastecimento de combustível durante as operações aeroagrícolas.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81366;A-041/CENIPA/2023 - 01;2024-07-30;2024-07-31;2024-08-01;Divulgar os ensinamentos colhidos na presente investigação, a fim de alertar pilotos e operadores da aviação agrícola sobre os riscos decorrentes da operação sob condições de voo por instrumentos por pessoal não habilitado e capacitado, empregando uma aeronave também não certificada para voo sob Regras de Voo por Instrumentos.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81347;A-037/CENIPA/2023 - 01;2024-12-19;2024-12-23;2025-03-11;Atuar junto à OM Oficina de Manutenção de Aeronaves LTDA, visando assegurar que sejaadotado um mecanismo efetivo para verificação da conformidade das atividades de manutenção executadas pela empresa, notadamente no que se refere aos trabalhos realizados pelos mecânicos e pelos inspetores nas ordens de serviços realizados.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81347;A-037/CENIPA/2023 - 02;2024-12-19;2024-12-23;2025-03-11;Divulgar os ensinamentos colhidos nesta investigação aos operadores de aeronave modeloT-188C, a fim de que esses operadores tomem conhecimento sobre a necessidade de observarem a correta instalação e fixação das abraçadeiras nos trens de pouso principais,bem como se as montagens estão permitindo o depósito e acúmulo de terra ou outros detritos entre as partes.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81328;A-027/CENIPA/2023 - 01;2025-04-08;2025-04-14;2025-09-11;Atuar junto à Textor Aviação Agricola Ltda., a fim de que aquele operador demonstre sua capacidade de gerenciamento de risco, em especial na identificação de perigos e adoção das respectivas mitigações.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81322;A-028/CENIPA/2023 - 01;2024-12-19;2024-12-23;2025-07-07;Divulgar os ensinamentos colhidos nesta investigação à empresa Mineiros Aviação Agrícola Ltda., a fim de que os pilotos dessa empresa atentem sobre a importância de serealizar corretamente os cálculos de peso e balanceamento, levando em consideração arelação entre o peso do produto constante do hopper e o peso máximo de decolagem, comatenção especial às diferentes altitudes de operação e temperaturas.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81320;A-030/CENIPA/2023 – 01;2025-04-22;2025-04-23;2025-11-26;Atuar junto à Chuí Aviação Agrícola Ltda., no sentido de que o operador demonstre que seus mecanismos de supervisão gerencial asseguram a realização dos procedimentos e respectivos registros de manutenção requeridos, especialmente no que se refere aos motores utilizados por suas aeronaves.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
