ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;investigacao_aeronave_liberada;investigacao_status;divulgacao_relatorio_publicado;total_aeronaves_envolvidas;ocorrencia_saida_pista;aeronave_matricula;aeronave_tipo_equipamento;aeronave_fabricante;aeronave_modelo;aeronave_motor_tipo;anv_motor_qtd;anv_motor_descricao_qtd;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
INCIDENTE;JUAZEIRO DO NORTE;CE;BRASIL;FAER;11/05/2025;04:20:00;SIM;FINALIZADA;NÃO;1;NÃO;PRPMM;HELICÓPTERO;AGUSTA;AW119MKII;TURBOEIXO;1;MONOMOTOR;8;2009;BRASIL;FORA DE AERODROMO;HERCÍLIO LUZ;ESTACIONAMENTO;POLICIAL;LEVE;0
INCIDENTE;UBERLÂNDIA;MG;BRASIL;SBUL;08/05/2025;14:00:00;SIM;FINALIZADA;NÃO;1;NÃO;PSLBE;AVIÃO;AIRBUS;A321-271NX;JATO;2;BIMOTOR;234;2023;BRASIL;SENADOR PETRÔNIO PORTELLA;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;LEVE;0
INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;09/05/2025;18:45:00;SIM;FINALIZADA;NÃO;1;NÃO;PRAUK;AVIÃO;EMBRAER;ERJ 190-200 IGW;JATO;2;BIMOTOR;125;0;BRASIL;CONGONHAS;GOVERNADOR ALUÍZIO ALVES;CRUZEIRO;REGULAR;NENHUM;0
INCIDENTE;SANTA MARIA;RS;BRASIL;SBSM;04/05/2025;14:45:00;SIM;FINALIZADA;NÃO;1;NÃO;PSABC;AVIÃO;THRUSH AIRCRAFT;S2R-T34;TURBOÉLICE;1;MONOMOTOR;NULL;2020;BRASIL;AERÓDROMO NÃO CADASTRADO;AERÓDROMO NÃO CADASTRADO;DECOLAGEM;AGRÍCOLA;SUBSTANCIAL;0
INCIDENTE;SÃO JOSÉ DO RIO PRETO;SP;BRASIL;SBSR;10/05/2025;10:00:00;SIM;FINALIZADA;NÃO;1;NÃO;PTSEF;AVIÃO;AIR TRACTOR;AT-502B;TURBOÉLICE;1;MONOMOTOR;NULL;2014;BRASIL;FORA DE AERODROMO;AERÓDROMO NÃO CADASTRADO;DECOLAGEM;AGRÍCOLA;DESTRUÍDA;1
INCIDENTE;BRASÍLIA;DF;BRASIL;SBBR;07/05/2025;11:15:00;SIM;FINALIZADA;NÃO;1;NÃO;PSHEV;AVIÃO;PIPER AIRCRAFT;PA-31T1;TURBOÉLICE;2;BIMOTOR;NULL;1981;BRASIL;MARECHAL RONDON;NOVA BANDEIRANTES;POUSO;REGULAR;SUBSTANCIAL;0
INCIDENTE;FORTALEZA;CE;BRASIL;FAER;19/04/2025;15:45:00;SIM;FINALIZADA;NÃO;1;NÃO;PTYUN;HELICÓPTERO;HELIBRAS;AS 350 B2;TURBOEIXO;1;MONOMOTOR;6;1996;BRASIL;PAGADOR;CAMPO DE MARTE - SP;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
INCIDENTE;GUARULHOS;SP;BRASIL;FAER;05/05/2025;16:45:00;SIM;FINALIZADA;NÃO;1;NÃO;PTRPM;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-712;PISTÃO;1;MONOMOTOR;4;1983;BRASIL;ESTADUAL ARTHUR SIQUEIRA;ESTADUAL ARTHUR SIQUEIRA;POUSO;INSTRUÇÃO;LEVE;0
INCIDENTE;MACEIÓ;AL;BRASIL;SBMO;25/04/2025;15:30:00;SIM;FINALIZADA;NÃO;1;NÃO;PRZIP;AVIÃO;GUILHERME SIMÕES CRUZ;RV-10;PISTÃO;1;MONOMOTOR;NULL;2011;BRASIL;SANTO ANTÔNIO DE LEVERGER;PONTA PORÃ;POUSO;EXPERIMENTAL;NENHUM;0
INCIDENTE;GOIÂNIA;GO;BRASIL;SBGO;04/05/2025;18:30:00;SIM;FINALIZADA;NÃO;1;NÃO;PTWIB;AVIÃO;CESSNA AIRCRAFT;S550;JATO;2;BIMOTOR;11;1987;BRASIL;ESTADUAL ARTHUR SIQUEIRA;Comandante Rolim Adolfo Amaro;POUSO;PRIVADA;SUBSTANCIAL;0
INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBJR;18/04/2025;16:00:00;SIM;FINALIZADA;NÃO;1;NÃO;PSAEE;AVIÃO;EMBRAER;ERJ 190-400;JATO;2;BIMOTOR;143;2020;BRASIL;ANTONIO CARLOS JOBIM / GALEÃO;VIRACOPOS;DECOLAGEM;REGULAR;LEVE;0
INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;FAER;05/05/2025;23:45:00;SIM;FINALIZADA;NÃO;1;NÃO;PPGGF;AVIÃO;AERO BOERO;AB-115;PISTÃO;1;MONOMOTOR;2;1992;BRASIL;DOURADOS;DOURADOS;APROXIMAÇÃO FINAL;INSTRUÇÃO;NENHUM;0
ACIDENTE;PARAUAPEBAS;PA;BRASIL;NCAD;05/05/2025;20:30:00;NÃO;ATIVA;NÃO;1;NÃO;PPGJG;AVIÃO;PIPER AIRCRAFT;PA-18;PISTÃO;1;MONOMOTOR;2;1950;BRASIL;FRANK MILOYE MILENKOVICH;AEROCLUBE SÃO JOSÉ DO RIO PARDO;SUBIDA;INSTRUÇÃO;NENHUM;0
INCIDENTE;SÃO LUÍS;MA;BRASIL;SBSL;05/05/2025;19:55:00;SIM;FINALIZADA;NÃO;1;NÃO;PSCNF;AVIÃO;CESSNA AIRCRAFT;208B;TURBOÉLICE;1;MONOMOTOR;NULL;2022;BRASIL;BARTOLOMEU DE GUSMÃO;VIRACOPOS;SUBIDA;REGULAR;NENHUM;0
INCIDENTE;SAPEZAL;MT;BRASIL;FAER;05/04/2025;15:30:00;SIM;FINALIZADA;NÃO;1;NÃO;PPJLM;AVIÃO;HAWKER BEECHCRAFT;B200;TURBOÉLICE;2;BIMOTOR;10;1997;BRASIL;Comandante Rolim Adolfo Amaro;Fazenda Uberaba;CRUZEIRO;PRIVADA;NENHUM;0
INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;25/03/2025;11:45:00;SIM;FINALIZADA;NÃO;1;NÃO;PTWEA;AVIÃO;BEECH AIRCRAFT;A36;PISTÃO;1;MONOMOTOR;6;1995;BRASIL;Comandante Rolim Adolfo Amaro;FRANK MILOYE MILENKOVICH;CRUZEIRO;PRIVADA;NENHUM;0
INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;29/03/2025;12:00:00;SIM;FINALIZADA;NÃO;1;NÃO;PSAEE;AVIÃO;EMBRAER;ERJ 190-400;JATO;2;BIMOTOR;143;2020;BRASIL;FERNANDO DE NORONHA;GUARARAPES - GILBERTO FREYRE;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;05/05/2025;14:00:00;SIM;FINALIZADA;NÃO;1;NÃO;PTJDN;AVIÃO;CESSNA AIRCRAFT;U206F;PISTÃO;1;MONOMOTOR;6;1973;BRASIL;AUARIS;MALBORO;CRUZEIRO;REGULAR;NENHUM;0
INCIDENTE;MANAUS;AM;BRASIL;SBEG;02/05/2025;16:37:00;SIM;FINALIZADA;NÃO;1;NÃO;N734AR;AVIÃO;BOEING COMPANY;777-300ER;JATO;2;BIMOTOR;0;0;ESTADOS UNIDOS;GOVERNADOR ANDRÉ FRANCO MONTORO;MIAMI INTERNATIONAL AIRPORT;CRUZEIRO;REGULAR;NENHUM;0
INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;27/04/2025;19:41:00;SIM;FINALIZADA;NÃO;1;NÃO;PSADB;AVIÃO;EMBRAER;ERJ 190-400;JATO;2;BIMOTOR;0;2025;BRASIL;TANCREDO NEVES;MARECHAL RONDON;DESCIDA;REGULAR;NENHUM;0
ACIDENTE;SERRA GRANDE;PB;BRASIL;FAER;03/05/2025;11:50:00;SIM;ATIVA;NÃO;1;NÃO;PSSLH;AVIÃO;TEXTRON AVIATION;208B;TURBOÉLICE;1;MONOMOTOR;NULL;2024;BRASIL;SURUCUCU;POUSO DA ÁGUIA;TÁXI;REGULAR;NENHUM;0
INCIDENTE GRAVE;UBERABA;MG;BRASIL;FAER;11/04/2025;18:45:00;SIM;ATIVA;NÃO;2;NÃO;PRGGH;AVIÃO;BOEING;737-8EH;JATO;2;BIMOTOR;197;2009;BRASIL;SALGADO FILHO;GOVERNADOR ANDRÉ FRANCO MONTORO;CRUZEIRO;REGULAR;NENHUM;0
INCIDENTE;ALTO ALEGRE;RR;BRASIL;FAER;01/05/2025;19:30:00;SIM;FINALIZADA;NÃO;1;NÃO;PTMXO;AVIÃO;AIRBUS;A321-231;JATO;2;BIMOTOR;235;2014;BRASIL;PRESIDENTE JUSCELINO KUBITSCHEK;VAL DE CANS / JÚLIO CEZAR RIBEIRO;SUBIDA;REGULAR;NENHUM;0
INCIDENTE;BRASÍLIA;DF;BRASIL;SBBR;23/04/2025;11:51:00;SIM;FINALIZADA;NÃO;1;NÃO;PRYXC;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A (600);TURBOÉLICE;2;BIMOTOR;77;2023;BRASIL;VAL DE CANS / JÚLIO CEZAR RIBEIRO;OIAPOQUE;CRUZEIRO;REGULAR;NENHUM;0
ACIDENTE;ARARAQUARA;SP;BRASIL;FAER;26/04/2025;19:15:00;SIM;FINALIZADA;NÃO;1;NÃO;PSAEA;AVIÃO;EMBRAER;ERJ 190-400;JATO;2;BIMOTOR;148;2019;BRASIL;TANCREDO NEVES;BAHIA - JORGE AMADO;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
INCIDENTE;RIBEIRÃO PRETO;SP;BRASIL;SBRP;29/04/2025;20:33:00;SIM;FINALIZADA;NÃO;1;NÃO;PRYRH;AVIÃO;AIRBUS;A320-251N;JATO;2;BIMOTOR;183;2017;BRASIL;FORT LAUDERDALE;VAL DE CANS / JÚLIO CEZAR RIBEIRO;CRUZEIRO;REGULAR;NENHUM;0
INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;02/05/2025;14:30:00;SIM;FINALIZADA;NÃO;1;NÃO;PUGCF;ULTRALEVE;GILBERTO CALEFFI FAURI;STORCH S500;PISTÃO;1;MONOMOTOR;2;2013;BRASIL;WALTER EWALDO SIEGEL;M. BAUMANN;CRUZEIRO;EXPERIMENTAL;SUBSTANCIAL;1
INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;02/05/2025;13:00:00;SIM;FINALIZADA;NÃO;1;NÃO;PSHPR;HELICÓPTERO;ROBINSON HELICOPTER;R66;TURBOEIXO;1;MONOMOTOR;NULL;2022;BRASIL;EXECUTIVO;EXECUTIVO;DECOLAGEM;POLICIAL;NENHUM;0
INCIDENTE;UBERLÂNDIA;MG;BRASIL;FAER;24/04/2025;19:30:00;SIM;FINALIZADA;NÃO;1;NÃO;PRYRC;AVIÃO;AIRBUS;A320-251N;JATO;2;BIMOTOR;183;2016;BRASIL;ANTONIO CARLOS JOBIM / GALEÃO;GUARARAPES - GILBERTO FREYRE;DECOLAGEM;REGULAR;LEVE;0
INCIDENTE;GUARULHOS;SP;BRASIL;FAER;27/04/2025;16:15:00;SIM;FINALIZADA;NÃO;1;NÃO;PSNEZ;AVIÃO;PIPER AIRCRAFT;PA-28R-200;PISTÃO;1;MONOMOTOR;NULL;1975;BRASIL;Comandante Rolim Adolfo Amaro;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;POUSO;REGULAR;NENHUM;0
INCIDENTE;SALVADOR;BA;BRASIL;SBSV;23/04/2025;16:05:00;SIM;FINALIZADA;NÃO;1;NÃO;PRMHX;AVIÃO;AIRBUS;A320-214;JATO;2;BIMOTOR;184;2008;BRASIL;EDUARDO GOMES;GOVERNADOR ANDRÉ FRANCO MONTORO;CRUZEIRO;REGULAR;NENHUM;0
INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBRJ;03/05/2025;19:00:00;SIM;FINALIZADA;NÃO;1;NÃO;PRYRX;AVIÃO;AIRBUS;A320-251N;JATO;2;BIMOTOR;NULL;2018;BRASIL;SANTA GENOVEVA/GOIÂNIA;VIRACOPOS;APROXIMAÇÃO FINAL;REGULAR;LEVE;0
INCIDENTE;IMPERATRIZ;MA;BRASIL;FAER;19/07/2024;22:45:00;SIM;FINALIZADA;NÃO;1;NÃO;PRYRL;AVIÃO;AIRBUS S.A.S.;A320-253N;JATO;2;BIMOTOR;182;2017;BRASIL;CAMPO GRANDE;VIRACOPOS;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
INCIDENTE;MACAÉ;RJ;BRASIL;SBME;30/04/2025;13:35:00;SIM;FINALIZADA;NÃO;1;NÃO;PRYSN;AVIÃO;AIRBUS;A320-251N;JATO;2;BIMOTOR;NULL;2023;BRASIL;VIRACOPOS;EURICO DE AGUIAR SALLES;CRUZEIRO;REGULAR;NENHUM;0
INCIDENTE;CURITIBA;PR;BRASIL;FAER;27/04/2025;20:45:00;SIM;FINALIZADA;NÃO;1;NÃO;PSAEZ;AVIÃO;EMBRAER;ERJ 190-400;JATO;2;BIMOTOR;0;2024;BRASIL;CONGONHAS;TANCREDO NEVES;SUBIDA;REGULAR;NENHUM;0
INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBRJ;21/07/2024;09:15:00;SIM;FINALIZADA;NÃO;1;NÃO;PRTYU;AVIÃO;AIRBUS S.A.S.;A320-214;JATO;2;BIMOTOR;189;2015;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;BRIGADEIRO LYSIAS RODRIGUES;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
INCIDENTE;RECIFE;PE;BRASIL;FAER;25/04/2025;02:30:00;SIM;FINALIZADA;NÃO;1;NÃO;PTUYP;AVIÃO;EMBRAER;EMB-202A;PISTÃO;1;MONOMOTOR;1;2010;BRASIL;AERÓDROMO NÃO CADASTRADO;AERÓDROMO NÃO CADASTRADO;MANOBRA;AGRÍCOLA;LEVE;0
ACIDENTE;GROSSOS;RN;BRASIL;FAER;21/04/2025;19:30:00;SIM;ATIVA;NÃO;1;NÃO;PSALM;AVIÃO;PIPER AIRCRAFT;PA-46-600TP;TURBOÉLICE;1;MONOMOTOR;NULL;2017;BRASIL;Clube Céu;JACAREPAGUÁ;APROXIMAÇÃO FINAL;PRIVADA;LEVE;0
ACIDENTE;ALTO PARAÍSO DE GOIÁS;GO;BRASIL;NCAD;29/04/2025;11:30:00;SIM;ATIVA;NÃO;1;NÃO;PTWNS;AVIÃO;MITSUBISHI AIRCRAFT;MU-2B-60;TURBOÉLICE;2;BIMOTOR;8;1980;BRASIL;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;SANTA GENOVEVA/GOIÂNIA;ESTACIONAMENTO;REGULAR;NENHUM;0
INCIDENTE;CANTÁ;RR;BRASIL;SWPD;26/04/2025;16:15:00;SIM;FINALIZADA;NÃO;1;NÃO;PRKNA;AVIÃO;CESSNA AIRCRAFT;152;PISTÃO;1;MONOMOTOR;2;1979;BRASIL;FRANCISCO DE ASSIS;FRANCISCO DE ASSIS;DECOLAGEM;INSTRUÇÃO;LEVE;0
INCIDENTE;CANTÁ;RR;BRASIL;SWPD;27/04/2025;00:00:00;SIM;FINALIZADA;NÃO;1;NÃO;PSCCO;AVIÃO;LEARJET;45;JATO;2;BIMOTOR;NULL;2006;BRASIL;SOROCABA;HERCÍLIO LUZ;DECOLAGEM;PRIVADA;NENHUM;0
ACIDENTE;JACAREACANGA;PA;BRASIL;FAER;13/04/2025;20:00:00;NÃO;FINALIZADA;NÃO;1;NÃO;PRMHG;AVIÃO;AIRBUS;A320-214;JATO;2;BIMOTOR;184;2007;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;GOVERNADOR ALUÍZIO ALVES;SUBIDA;REGULAR;NENHUM;0
INCIDENTE;PALMAS;TO;BRASIL;SBPJ;29/04/2025;19:30:00;SIM;FINALIZADA;NÃO;1;NÃO;PRYRH;AVIÃO;AIRBUS;A320-251N;JATO;2;BIMOTOR;183;2017;BRASIL;CARAJÁS;TANCREDO NEVES;CRUZEIRO;REGULAR;NENHUM;0
INCIDENTE;FORTALEZA;CE;BRASIL;SBFZ;17/04/2025;00:15:00;SIM;FINALIZADA;NÃO;1;NÃO;PSLBE;AVIÃO;AIRBUS;A321-271NX;JATO;2;BIMOTOR;234;2023;BRASIL;SENADOR PETRÔNIO PORTELLA;GOVERNADOR ANDRÉ FRANCO MONTORO;SUBIDA;REGULAR;LEVE;0
INCIDENTE;SÃO PAULO;SP;BRASIL;SBGR;24/04/2025;16:30:00;SIM;FINALIZADA;NÃO;1;NÃO;PRMHI;AVIÃO;AIRBUS;A320-214;JATO;2;BIMOTOR;184;2007;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;TANCREDO NEVES;SUBIDA;REGULAR;NENHUM;0
INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;FAER;25/04/2025;18:00:00;SIM;FINALIZADA;NÃO;1;NÃO;PTPFW;AVIÃO;BEECH AIRCRAFT;N35;PISTÃO;1;MONOMOTOR;4;1961;BRASIL;CAMPO DE MARTE - SP;Comandante Rolim Adolfo Amaro;DECOLAGEM;PRIVADA;NENHUM;0
INCIDENTE;RIBEIRÃO PRETO;SP;BRASIL;SBRP;25/04/2025;15:30:00;SIM;FINALIZADA;NÃO;1;NÃO;PRANW;AVIÃO;AIRBUS S.A.S.;A330-941;JATO;2;BIMOTOR;314;2020;BRASIL;VIRACOPOS;FORT LAUDERDALE;SUBIDA;REGULAR;NENHUM;0
INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;FAER;25/04/2025;13:15:00;SIM;FINALIZADA;NÃO;1;NÃO;PTTPA;AVIÃO;AIRBUS S.A.S.;A319-112;JATO;2;BIMOTOR;153;0;BRASIL;PRESIDENTE JUSCELINO KUBITSCHEK;HERCÍLIO LUZ;ESTACIONAMENTO;REGULAR;NENHUM;0
INCIDENTE;CASIMIRO DE ABREU;RJ;BRASIL;SNAO;06/03/2025;15:30:00;SIM;FINALIZADA;NÃO;1;NÃO;PRTYJ;AVIÃO;AIRBUS S.A.S.;A320-214;JATO;2;BIMOTOR;189;2014;BRASIL;LAURO CARNEIRO DE LOYOLA;GOVERNADOR ANDRÉ FRANCO MONTORO;CRUZEIRO;REGULAR;NENHUM;0
INCIDENTE;ARACAJU;SE;BRASIL;SBAR;24/04/2025;18:55:00;SIM;FINALIZADA;NÃO;1;NÃO;PTNTY;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-712;PISTÃO;1;MONOMOTOR;4;1979;BRASIL;PROFESSOR URBANO ERNESTO STUMPF;CAMPO DE MARTE - SP;TÁXI;INSTRUÇÃO;LEVE;0
INCIDENTE;MANAUS;AM;BRASIL;FAER;23/04/2025;19:00:00;SIM;FINALIZADA;NÃO;1;NÃO;PRJJD;AVIÃO;EMBRAER;EMB-500;JATO;2;BIMOTOR;6;2010;BRASIL;Comandante Rolim Adolfo Amaro;SOROCABA;CRUZEIRO;PRIVADA;NENHUM;0
INCIDENTE;SÃO PAULO;SP;BRASIL;SBSP;24/04/2025;09:32:00;SIM;FINALIZADA;NÃO;1;NÃO;PRJBE;HELICÓPTERO;SIKORSKY AIRCRAFT;S-92A;TURBOEIXO;2;BIMOTOR;21;2012;BRASIL;JACAREPAGUÁ;JACAREPAGUÁ;POUSO;REGULAR;NENHUM;0
INCIDENTE;FORTALEZA;CE;BRASIL;SBFZ;20/04/2025;11:40:00;SIM;FINALIZADA;NÃO;1;NÃO;PRTKM;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A;TURBOÉLICE;2;BIMOTOR;73;2012;BRASIL;TANCREDO NEVES;MÁRIO RIBEIRO;POUSO;REGULAR;NENHUM;0
INCIDENTE GRAVE;PORTO MURTINHO;MS;BRASIL;FAER;20/04/2025;11:30:00;SIM;FINALIZADA;NÃO;1;NÃO;PSADI;AVIÃO;EMBRAER;ERJ 190-400;JATO;2;BIMOTOR;0;2025;BRASIL;AFONSO PENA;VIRACOPOS;DESCIDA;REGULAR;NENHUM;0
INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;06/04/2025;22:45:00;SIM;FINALIZADA;NÃO;1;NÃO;PTJYV;ANFÍBIO;LAKE AIRCRAFT;LA-4-200;PISTÃO;1;MONOMOTOR;4;0;BRASIL;CORONEL ALEXANDRE RAPOSO;BARREIRINHAS;POUSO;PRIVADA;NENHUM;0
INCIDENTE;SÃO PAULO;SP;BRASIL;SBSP;18/03/2025;21:30:00;SIM;FINALIZADA;NÃO;1;NÃO;LVKLH;AVIÃO;GULFSTREAM;GV;JATO;2;BIMOTOR;0;0;ARGENTINA;EXTERIOR;GOVERNADOR ALUÍZIO ALVES;DESCIDA;REGULAR;NENHUM;0
ACIDENTE;ORIXIMINÁ;PA;BRASIL;FAER;16/04/2025;15:20:00;NÃO;ATIVA;NÃO;1;NÃO;PPDBS;AVIÃO;DASSAULT AVIATION;FALCON 7X;JATO;3;TRIMOTOR;NULL;NULL;BRASIL;VIRACOPOS;EXTERIOR;CRUZEIRO;PRIVADA;NENHUM;0
INCIDENTE GRAVE;GOIÂNIA;GO;BRASIL;SBNV;29/04/2025;18:30:00;SIM;FINALIZADA;NÃO;1;NÃO;PPENM;HELICÓPTERO;EUROCOPTER;AS 350 B2;TURBOEIXO;1;MONOMOTOR;6;2001;BRASIL;FORA DE AERODROMO;FORA DE AERODROMO;VOO A BAIXA ALTURA;POLICIAL;SUBSTANCIAL;0
ACIDENTE;PORTO ALEGRE DO NORTE;MT;BRASIL;SIRQ;28/04/2025;14:55:00;NÃO;ATIVA;NÃO;1;NÃO;PTRHR;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-712;PISTÃO;1;MONOMOTOR;4;1980;BRASIL;PROFESSOR ERIBERTO MANOEL REINO;DOMINGOS PIGNATARI;CRUZEIRO;INSTRUÇÃO;SUBSTANCIAL;0
ACIDENTE;CHAPADÃO DO SUL;MS;BRASIL;SIFM;17/04/2025;11:45:00;SIM;ATIVA;NÃO;1;SIM;PSBTO;HELICÓPTERO;LEONARDO S.P.A;AW139;TURBOEIXO;2;BIMOTOR;NULL;2013;BRASIL;MACAÉ/RIO DE JANEIRO - JOAQUIM DE AZEVEDO MANCEBO;AERÓDROMO NÃO CADASTRADO;CRUZEIRO;REGULAR;NENHUM;0
ACIDENTE;SÃO JOSÉ DO RIO CLARO;MT;BRASIL;SJRT;19/04/2025;11:30:00;NÃO;ATIVA;NÃO;1;NÃO;PSPIN;AVIÃO;ISRAEL AIRCRAFT;GULFSTREAM 200;JATO;2;BIMOTOR;NULL;2006;BRASIL;SÃO PAULO CATARINA AEROPORTO EXECUTIVO;GOVERNADOR JOSÉ RICHA;CRUZEIRO;PRIVADA;NENHUM;0
ACIDENTE;TERRA ROXA;SP;BRASIL;ZZZZ;11/04/2025;09:00:00;SIM;ATIVA;NÃO;2;NÃO;PROMU;HELICÓPTERO;AIRBUS HELICOPTERS;EC 225 LP;TURBOEIXO;2;BIMOTOR;NULL;2015;BRASIL;CABO FRIO;AERÓDROMO NÃO CADASTRADO;CRUZEIRO;REGULAR;NENHUM;0
INCIDENTE;BRASÍLIA;DF;BRASIL;SBBR;21/04/2025;18:50:00;SIM;FINALIZADA;NÃO;1;NÃO;PROOW;HELICÓPTERO;LEONARDO S.P.A;AW189;TURBOEIXO;2;BIMOTOR;NULL;2024;BRASIL;JACAREPAGUÁ;AERÓDROMO NÃO CADASTRADO;POUSO;REGULAR;NENHUM;0
INCIDENTE GRAVE;NOSSA SENHORA DO LIVRAMENTO;MT;BRASIL;SI8Y;22/04/2025;12:00:00;SIM;ATIVA;NÃO;1;NÃO;PROHV;HELICÓPTERO;LEONARDO S.P.A;AW139;TURBOEIXO;2;BIMOTOR;14;2014;BRASIL;MACAÉ/RIO DE JANEIRO - JOAQUIM DE AZEVEDO MANCEBO;AERÓDROMO NÃO CADASTRADO;POUSO;REGULAR;NENHUM;0
INCIDENTE;SALVADOR;BA;BRASIL;SBSV;17/04/2025;20:06:00;SIM;FINALIZADA;NÃO;1;NÃO;PTNVL;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-712;PISTÃO;1;MONOMOTOR;4;1980;BRASIL;Ten. Brig. Ar Waldir de Vasconcelos;JACAREPAGUÁ;APROXIMAÇÃO FINAL;ESPECIALIZADA;NENHUM;0
INCIDENTE;PORTO VELHO;RO;BRASIL;SBPV;19/04/2025;04:30:00;SIM;FINALIZADA;NÃO;1;NÃO;PUJAF;ULTRALEVE;JOAO ANTONIO FRANCIOSI;PARADISE I;PISTÃO;1;MONOMOTOR;2;2003;BRASIL;AEROCLUBE DE SANTA CATARINA;FAZENDA AERO-AMIL;CRUZEIRO;PRIVADA;NENHUM;0
ACIDENTE;JATAÍ;GO;BRASIL;NCAD;19/04/2025;13:24:00;NÃO;ATIVA;NÃO;1;NÃO;PPLMF;HELICÓPTERO;HELIBRAS;AS 350 B2;TURBOEIXO;1;MONOMOTOR;6;2012;BRASIL;NÃO IDENTIFICADO;NÃO IDENTIFICADO;ESTACIONAMENTO;NÃO APLICÁVEL;LEVE;0
ACIDENTE;NÃO IDENTIFICADA;***;BRASIL;NCAD;20/04/2025;18:30:00;NÃO;ATIVA;NÃO;1;NÃO;PRAGU;HELICÓPTERO;AGUSTA;A109E;TURBOEIXO;2;BIMOTOR;8;2009;BRASIL;NÃO IDENTIFICADO;NÃO IDENTIFICADO;TÁXI;NÃO APLICÁVEL;LEVE;0
INCIDENTE;SALVADOR;BA;BRASIL;SBSV;20/04/2025;10:15:00;SIM;FINALIZADA;NÃO;1;NÃO;PURPI;ULTRALEVE;ANTONIO CARLOS RODRIGUES;PATRIOT;PISTÃO;1;MONOMOTOR;2;2010;BRASIL;GUANAMBI;GUANAMBI;DECOLAGEM;EXPERIMENTAL;SUBSTANCIAL;0
INCIDENTE;SÃO PAULO;SP;BRASIL;SBSP;16/04/2025;00:15:00;SIM;FINALIZADA;NÃO;1;NÃO;PRMAK;AVIÃO;AIRBUS;A320-232;JATO;2;BIMOTOR;166;2002;BRASIL;SANTA MARIA;GOVERNADOR ANDRÉ FRANCO MONTORO;DESCIDA;REGULAR;NENHUM;0
INCIDENTE;PORTO ALEGRE;RS;BRASIL;FAER;02/04/2025;22:03:00;SIM;FINALIZADA;NÃO;1;NÃO;PSAER;AVIÃO;EMBRAER;ERJ 190-400;JATO;2;BIMOTOR;0;2023;BRASIL;PRESIDENTE JUSCELINO KUBITSCHEK;VIRACOPOS;CRUZEIRO;REGULAR;NENHUM;0
INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;13/04/2025;12:15:00;SIM;FINALIZADA;NÃO;1;NÃO;PSAEI;AVIÃO;EMBRAER;ERJ 190-400;JATO;2;BIMOTOR;0;2022;BRASIL;VIRACOPOS;PRESIDENTE JUSCELINO KUBITSCHEK;SUBIDA;REGULAR;NENHUM;0
INCIDENTE;GUIA LOPES DA LAGUNA;MS;BRASIL;FAER;14/04/2025;21:15:00;SIM;FINALIZADA;NÃO;1;SIM;PPEVC;HELICÓPTERO;HELIBRAS;AS 350 BA;TURBOEIXO;1;MONOMOTOR;6;1993;BRASIL;MALBORO;ATLAS BRASIL CANTANHEDE;CRUZEIRO;REGULAR;NENHUM;0
