ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;investigacao_aeronave_liberada;investigacao_status;divulgacao_relatorio_publicado;total_aeronaves_envolvidas;ocorrencia_saida_pista;aeronave_matricula;aeronave_tipo_equipamento;aeronave_fabricante;aeronave_modelo;aeronave_motor_tipo;anv_motor_qtd;anv_motor_descricao_qtd;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;27/03/2024;09:15:00;SIM;FINALIZADA;NÃO;1;NÃO;PSAEE;AVIÃO;EMBRAER;ERJ 190-400;JATO;2;BIMOTOR;143;2020;BRASIL;ANTONIO CARLOS JOBIM / GALEÃO;VIRACOPOS;ESTACIONAMENTO;REGULAR;NENHUM;0
ACIDENTE;PARÁ DE MINAS;MG;BRASIL;SNPA;27/03/2024;19:50:00;SIM;ATIVA;NÃO;1;NÃO;PRTYL;AVIÃO;AIRBUS S.A.S.;A320-214;JATO;2;BIMOTOR;189;2015;BRASIL;PROFESSOR ERIBERTO MANOEL REINO;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;LEVE;0
INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;21/03/2024;09:55:00;SIM;FINALIZADA;NÃO;1;NÃO;PTMXG;AVIÃO;AIRBUS;A321-231;JATO;2;BIMOTOR;232;2010;BRASIL;DEPUTADO LUÍS EDUARDO MAGALHÃES;GOVERNADOR ANDRÉ FRANCO MONTORO;ESTACIONAMENTO;REGULAR;NENHUM;0
INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;22/03/2024;04:00:00;SIM;FINALIZADA;NÃO;1;NÃO;PRSDT;AVIÃO;BOEING;737-4B6;JATO;2;BIMOTOR;NULL;1994;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;DEPUTADO LUÍS EDUARDO MAGALHÃES;CRUZEIRO;***;NENHUM;0
INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;22/03/2024;06:45:00;SIM;FINALIZADA;NÃO;1;NÃO;PRSLH;AVIÃO;BOEING COMPANY;737-86N;JATO;2;BIMOTOR;NULL;1999;BRASIL;TANCREDO NEVES;PINTO MARTINS;ESTACIONAMENTO;***;NENHUM;0
INCIDENTE;BELÉM;PA;BRASIL;SBBE;24/03/2024;13:30:00;SIM;FINALIZADA;NÃO;1;NÃO;PRCHQ;HELICÓPTERO;SIKORSKY;S-76C;TURBOEIXO;2;BIMOTOR;15;2008;BRASIL;CABO FRIO;AERÓDROMO NÃO CADASTRADO;POUSO;TÁXI AÉREO;NENHUM;0
INCIDENTE;IMPERATRIZ;MA;BRASIL;SBIZ;23/03/2024;12:35:00;SIM;FINALIZADA;NÃO;1;NÃO;PTXPI;AVIÃO;AIRBUS;A321-211;JATO;2;BIMOTOR;NULL;NULL;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;CATARATAS;CRUZEIRO;REGULAR;NENHUM;0
INCIDENTE;FLORIANÓPOLIS;SC;BRASIL;SBFL;25/03/2024;23:25:00;SIM;FINALIZADA;NÃO;1;NÃO;PRSLH;AVIÃO;BOEING COMPANY;737-86N;JATO;2;BIMOTOR;NULL;1999;BRASIL;TANCREDO NEVES;PINTO MARTINS;ESTACIONAMENTO;***;NENHUM;0
INCIDENTE;UBERLÂNDIA;MG;BRASIL;SBUL;24/03/2024;15:36:00;SIM;FINALIZADA;NÃO;1;NÃO;PRXBO;AVIÃO;AIRBUS S.A.S.;A320-271N;JATO;2;BIMOTOR;189;0;BRASIL;CONGONHAS;TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO;POUSO;REGULAR;LEVE;0
INCIDENTE;PALMAS;TO;BRASIL;SBPJ;23/03/2024;14:10:00;SIM;FINALIZADA;NÃO;1;NÃO;PSBTJ;HELICÓPTERO;AGUSTA;AW139;TURBOEIXO;2;BIMOTOR;NULL;2015;BRASIL;SÃO TOMÉ;FORA DE AERODROMO;CRUZEIRO;TÁXI AÉREO;NENHUM;0
